cveid,year,hash,desc,link,publishedDate

4,2005,952166f48eb0f5797b75b160fd156bbe1e8fc647,"The chroot, jail, and zone connection plugins in ansible before 1.9.2 allow local users to escape a restricted environment via a symlink attack.",http://github.com/ansible/ansible/commit/952166f48eb0f5797b75b160fd156bbe1e8fc647,2017-06-07T20:29Z

4,2005,ca2f2c4ebd7b5e097eab0a710f79c1f63badf95b,"The chroot, jail, and zone connection plugins in ansible before 1.9.2 allow local users to escape a restricted environment via a symlink attack.",http://github.com/ansible/ansible/commit/ca2f2c4ebd7b5e097eab0a710f79c1f63badf95b,2017-06-07T20:29Z

36,2005,c08d376072f093b650c49dcb44124f43ea0177b1,The supportflow plugin before 0.7 for WordPress has XSS via a discussion ticket title.,http://github.com/SupportFlow/supportflow/commit/c08d376072f093b650c49dcb44124f43ea0177b1,2019-09-16T13:15Z

37,2005,c507cc863d161f87c28d0682714bf188ffac1a67,The supportflow plugin before 0.7 for WordPress has XSS via a ticket excerpt.,http://github.com/SupportFlow/supportflow/commit/c507cc863d161f87c28d0682714bf188ffac1a67,2019-09-16T13:15Z

63,2005,17137d4ab1ce81a2cee0fae842340a344ef3da83,A type confusion vulnerability in the merge_param() function of php_http_params.c in PHP's pecl-http extension 3.1.0beta2 (PHP 7) and earlier as well as 2.6.0beta2 (PHP 5) and earlier allows attackers to crash PHP and possibly execute arbitrary code via crafted HTTP requests.,http://github.com/m6w6/ext-http/commit/17137d4ab1ce81a2cee0fae842340a344ef3da83,2019-09-06T19:15Z

96,2005,ca3356eb49fee03e2eaf6b6aff826988c1122d93,The iwgif_read_image function in imagew-gif.c in libimageworsener.a in ImageWorsener 1.3.0 allows remote attackers to cause a denial of service (divide-by-zero error and application crash) via a crafted file.,http://github.com/jsummers/imageworsener/commit/ca3356eb49fee03e2eaf6b6aff826988c1122d93,2017-04-19T15:59Z

97,2005,86564051db45b466e5f667111ce00b5eeedc8fb6,The iw_process_cols_to_intermediate function in imagew-main.c in libimageworsener.a in ImageWorsener before 1.3.1 allows remote attackers to cause a denial of service (heap-based buffer overflow and application crash) or possibly have unspecified other impact via a crafted image.,http://github.com/jsummers/imageworsener/commit/86564051db45b466e5f667111ce00b5eeedc8fb6,2017-04-29T20:59Z

98,2005,a00183107d4b84bc8a714290e824ca9c68dac738,"libimageworsener.a in ImageWorsener before 1.3.1 has ""left shift cannot be represented in type int"" undefined behavior issues, which might allow remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted image, related to imagew-bmp.c and imagew-util.c.",http://github.com/jsummers/imageworsener/commit/a00183107d4b84bc8a714290e824ca9c68dac738,2017-04-29T20:59Z

99,2005,86564051db45b466e5f667111ce00b5eeedc8fb6,The bmpr_read_uncompressed function in imagew-bmp.c in libimageworsener.a in ImageWorsener before 1.3.1 allows remote attackers to cause a denial of service (memory consumption) via a crafted image.,http://github.com/jsummers/imageworsener/commit/86564051db45b466e5f667111ce00b5eeedc8fb6,2017-04-29T20:59Z

102,2005,dc49c807926b96e503bd7c0dec35119eecd6c6fe,"imagew-cmd.c:850:46 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (divide-by-zero error) via a crafted image, related to imagew-api.c.",http://github.com/jsummers/imageworsener/commit/dc49c807926b96e503bd7c0dec35119eecd6c6fe,2017-05-23T04:29Z

103,2005,dc49c807926b96e503bd7c0dec35119eecd6c6fe,"imagew-cmd.c:854:45 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (divide-by-zero error) via a crafted image, related to imagew-api.c.",http://github.com/jsummers/imageworsener/commit/dc49c807926b96e503bd7c0dec35119eecd6c6fe,2017-05-23T04:29Z

104,2005,a4f247707f08e322f0b41e82c3e06e224240a654,"imagew-main.c:960:12 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (buffer underflow) via a crafted image, related to imagew-bmp.c.",http://github.com/jsummers/imageworsener/commit/a4f247707f08e322f0b41e82c3e06e224240a654,2017-05-23T04:29Z

105,2005,b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,"The iw_get_ui16le function in imagew-util.c:405:23 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (invalid read and SEGV) via a crafted image, related to imagew-jpeg.c.",http://github.com/jsummers/imageworsener/commit/b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,2017-05-23T04:29Z

106,2005,b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,"The iw_get_ui16be function in imagew-util.c:422:24 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (invalid read and SEGV) via a crafted image, related to imagew-jpeg.c.",http://github.com/jsummers/imageworsener/commit/b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,2017-05-23T04:29Z

107,2005,b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,"The iw_get_ui16le function in imagew-util.c:405:23 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (heap-based buffer over-read) via a crafted image, related to imagew-jpeg.c.",http://github.com/jsummers/imageworsener/commit/b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,2017-05-23T04:29Z

108,2005,b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,"The iw_get_ui16be function in imagew-util.c:422:24 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (heap-based buffer over-read) via a crafted image, related to imagew-jpeg.c.",http://github.com/jsummers/imageworsener/commit/b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d,2017-05-23T04:29Z

115,2005,28badf7ef60ac3e7ef151cd8e8ec010b8479226a,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When Default Typing is enabled (either globally or for a specific property), the service has the Jodd-db jar (for database access for the Jodd framework) in the classpath, and an attacker can provide an LDAP service to access, it is possible to make the service execute a malicious payload.",http://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,2019-03-21T16:00Z

116,2005,28badf7ef60ac3e7ef151cd8e8ec010b8479226a,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When Default Typing is enabled (either globally or for a specific property), the service has the Oracle JDBC jar in the classpath, and an attacker can provide an LDAP service to access, it is possible to make the service execute a malicious payload.",http://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226a,2019-03-21T16:00Z

122,2005,87d29af25e82a249ea15858e2d4ecbf64091db44,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the blaze-ds-opt and blaze-ds-core classes from polymorphic deserialization.,http://github.com/FasterXML/jackson-databind/commit/87d29af25e82a249ea15858e2d4ecbf64091db44,2019-01-02T18:29Z

127,2005,360e95d45ac4123255a4c796db96337f332160ad,A double free when handling responses in read_file in tools/egk-tool.c (aka the eGK card tool) in OpenSC before 0.19.0-rc1 could be used by attackers able to supply crafted smartcards to cause a denial of service (application crash) or possibly have unspecified other impact.,http://github.com/OpenSC/OpenSC/commit/360e95d45ac4123255a4c796db96337f332160ad#diff-476b3b2a03c4eef331b4b0bfece4b063,2018-09-04T00:29Z

128,2005,360e95d45ac4123255a4c796db96337f332160ad,A double free when handling responses from an HSM Card in sc_pkcs15emu_sc_hsm_init in libopensc/pkcs15-sc-hsm.c in OpenSC before 0.19.0-rc1 could be used by attackers able to supply crafted smartcards to cause a denial of service (application crash) or possibly have unspecified other impact.,http://github.com/OpenSC/OpenSC/commit/360e95d45ac4123255a4c796db96337f332160ad#diff-d643a0fa169471dbf2912f4866dc49c5,2018-09-04T00:29Z

140,2005,42912cac4753f3f718ece875e4d486f8264c2f2b,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the axis2-transport-jms class from polymorphic deserialization.,http://github.com/FasterXML/jackson-databind/commit/42912cac4753f3f718ece875e4d486f8264c2f2b,2019-01-02T18:29Z

141,2005,42912cac4753f3f718ece875e4d486f8264c2f2b,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the openjpa class from polymorphic deserialization.,http://github.com/FasterXML/jackson-databind/commit/42912cac4753f3f718ece875e4d486f8264c2f2b,2019-01-02T18:29Z

142,2005,42912cac4753f3f718ece875e4d486f8264c2f2b,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the jboss-common-core class from polymorphic deserialization.,http://github.com/FasterXML/jackson-databind/commit/42912cac4753f3f718ece875e4d486f8264c2f2b,2019-01-02T18:29Z

145,2005,5f8cf712582617d523120df67d392059eaf2fc4b,"In the Linux kernel through 4.19.6, a local user could exploit a use-after-free in the ALSA driver by supplying a malicious USB Sound device (with zero interfaces) that is mishandled in usb_audio_probe in sound/usb/card.c.",http://github.com/torvalds/linux/commit/5f8cf712582617d523120df67d392059eaf2fc4b,2018-12-03T17:29Z

146,2005,0de84700648f098c1fbf6b807dee28ec640efe62,"Chamilo LMS version 11.x contains an Unserialization vulnerability in the ""hash"" GET parameter for the api endpoint located at /webservices/api/v2.php that can result in Unauthenticated remote code execution. This attack appear to be exploitable via a simple GET request to the api endpoint. This vulnerability appears to have been fixed in After commit 0de84700648f098c1fbf6b807dee28ec640efe62.",http://github.com/chamilo/chamilo-lms/commit/0de84700648f098c1fbf6b807dee28ec640efe62,2018-07-23T15:29Z

148,2005,4dca546d04321a610c1835010b5dad85163b65e1,rdesktop versions up to and including v1.8.3 contains several Integer Signedness errors that lead to Out-Of-Bounds Reads in the file mcs.c and result in a Denial of Service (segfault).,http://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1,2019-03-15T18:29Z

149,2005,4dca546d04321a610c1835010b5dad85163b65e1,rdesktop versions up to and including v1.8.3 contain an Out-Of-Bounds Read in the function process_demand_active() that results in a Denial of Service (segfault).,http://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1,2019-03-15T18:29Z

150,2005,4dca546d04321a610c1835010b5dad85163b65e1,rdesktop versions up to and including v1.8.3 contain an Integer Underflow that leads to a Heap-Based Buffer Overflow in the function rdpsnddbg_process() and results in memory corruption and probably even a remote code execution.,http://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1,2019-03-15T18:29Z

151,2005,4dca546d04321a610c1835010b5dad85163b65e1,rdesktop versions up to and including v1.8.3 contain an Integer Underflow that leads to a Heap-Based Buffer Overflow in the function seamless_process() and results in memory corruption and probably even a remote code execution.,http://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1,2019-03-15T18:29Z

152,2005,4dca546d04321a610c1835010b5dad85163b65e1,rdesktop versions up to and including v1.8.3 contain a Buffer Overflow over the global variables in the function seamless_process_line() that results in memory corruption and probably even a remote code execution.,http://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1,2019-03-15T18:29Z

164,2005,d2371b4b204f0a3c0af51ad4e9b491144dd1225c,GPAC 0.7.1 has a memory leak in dinf_Read in isomedia/box_code_base.c.,http://github.com/gpac/gpac/commit/d2371b4b204f0a3c0af51ad4e9b491144dd1225c,2019-09-16T13:15Z

