cveid,year,hash,desc,link,publishedDate
10,2010,1958b52d41cba96956dc1995660de49525ed1047,"The eval_js function in uzbl-core.c in Uzbl before 2010.01.05 exposes the run method of the Uzbl object, which allows remote attackers to execute arbitrary commands via JavaScript code.",http://github.com/Dieterbe/uzbl/commit/1958b52d41cba96956dc1995660de49525ed1047,2010-02-25T19:30Z
1114,2010,75cc83685e103bc8ba380a57468c8f04413033f9,memcached.c in memcached before 1.4.3 allows remote attackers to cause a denial of service (daemon hang or crash) via a long line that triggers excessive memory allocation.  NOTE: some of these details are obtained from third party information.,http://github.com/memcached/memcached/commit/75cc83685e103bc8ba380a57468c8f04413033f9,2010-04-12T18:30Z
1114,2010,d9cd01ede97f4145af9781d448c62a3318952719,memcached.c in memcached before 1.4.3 allows remote attackers to cause a denial of service (daemon hang or crash) via a long line that triggers excessive memory allocation.  NOTE: some of these details are obtained from third party information.,http://github.com/memcached/memcached/commit/d9cd01ede97f4145af9781d448c62a3318952719,2010-04-12T18:30Z
1117,2010,85bbc05b21678e80423815d2ef1dfe26208491ab,"Irssi before 0.8.15, when SSL is used, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) field or a Subject Alternative Name field of the X.509 certificate, which allows man-in-the-middle attackers to spoof IRC servers via an arbitrary certificate.",http://github.com/ensc/irssi-proxy/commit/85bbc05b21678e80423815d2ef1dfe26208491ab,2010-04-16T19:30Z
1580,2010,4ea3402f9363c9259881bc8ea6ce7fc6cb212657,"Unspecified vulnerability in posting.php in phpBB before 3.0.5 has unknown impact and attack vectors related to the use of a ""forum id"" in circumstances related to a ""global announcement.""",http://github.com/phpbb/phpbb3/commit/4ea3402f9363c9259881bc8ea6ce7fc6cb212657,2010-05-19T22:30Z
1995,2010,2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,"The put command functionality in beanstalkd 1.4.5 and earlier allows remote attackers to execute arbitrary Beanstalk commands via the body in a job that is too big, which is not properly handled by the dispatch_cmd function in prot.c.",http://github.com/kr/beanstalkd/commit/2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,2010-06-08T00:30Z
2658,2010,e4942b871a26c1317a175a91ebb7262eea59b380,"The multipart_init function in (1) CGI.pm before 3.50 and (2) Simple.pm in CGI::Simple 1.112 and earlier uses a hardcoded value of the MIME boundary string in multipart/x-mixed-replace content, which allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks via crafted input that contains this value, a different vulnerability than CVE-2010-3172.",http://github.com/AndyA/CGI--Simple/commit/e4942b871a26c1317a175a91ebb7262eea59b380,2010-12-06T20:12Z
2697,2010,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,"The default configuration of the <Button2> binding in Uzbl before 2010.08.05 does not properly use the @SELECTED_URI feature, which allows user-assisted remote attackers to execute arbitrary commands via a crafted HREF attribute of an A element in an HTML document.",http://github.com/Dieterbe/uzbl/commit/9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,2010-08-19T22:00Z
2697,2010,342f292c27973c9df5f631a38bd12f14a9c5cdc2,"The default configuration of the <Button2> binding in Uzbl before 2010.08.05 does not properly use the @SELECTED_URI feature, which allows user-assisted remote attackers to execute arbitrary commands via a crafted HREF attribute of an A element in an HTML document.",http://github.com/pawelz/uzbl/commit/342f292c27973c9df5f631a38bd12f14a9c5cdc2,2010-08-19T22:00Z
3133,2010,aba6681660f65af7f1676434da68c10298c30200,"oxf/xml/xerces/XercesSAXParserFactoryImpl.java in the xforms-server component in the XForms service in Orbeon Forms before 3.9 does not properly restrict DTDs in Ajax requests, which allows remote attackers to read arbitrary files or send HTTP requests to intranet servers via an entity declaration in conjunction with an entity reference, related to an ""XML injection"" issue.",http://github.com/orbeon/orbeon-forms/commit/aba6681660f65af7f1676434da68c10298c30200,2011-04-27T00:55Z
3520,2010,4dc7800b866f889a1247685bbaa6dd4238a56279,"The fr_dhcp_decode function in lib/dhcp.c in FreeRADIUS 2.1.9, in certain non-default builds, does not properly handle the DHCP Relay Agent Information option, which allows remote attackers to cause a denial of service (infinite loop and daemon outage) via a packet that has more than one sub-option.  NOTE: some of these details are obtained from third party information.",http://github.com/alandekok/freeradius-server/commit/4dc7800b866f889a1247685bbaa6dd4238a56279,2010-10-07T21:00Z
3521,2010,ff94dd35673bba1476594299d31ce8293b8bd223,"The wait_for_child_to_die function in main/event.c in FreeRADIUS 2.1.x before 2.1.10, in certain circumstances involving long-term database outages, does not properly handle long queue times for requests, which allows remote attackers to cause a denial of service (daemon crash) by sending many requests.",http://github.com/alandekok/freeradius-server/commit/ff94dd35673bba1476594299d31ce8293b8bd223,2010-10-07T21:00Z
3789,2010,19944bd999c310d9b10d16a41f48ebac97dc4fac,"Spree 0.11.x before 0.11.2 and 0.30.x before 0.30.0 exchanges data using JavaScript Object Notation (JSON) without a mechanism for validating requests, which allows remote attackers to obtain sensitive information via vectors involving (1) admin/products.json, (2) admin/users.json, or (3) admin/overview/get_report_data, related to a ""JSON hijacking"" issue.",http://github.com/railsdog/spree/commit/19944bd999c310d9b10d16a41f48ebac97dc4fac,2010-11-17T16:00Z
3789,2010,d881b2bb610ea33e2364ff16feb8e702dfeda135,"Spree 0.11.x before 0.11.2 and 0.30.x before 0.30.0 exchanges data using JavaScript Object Notation (JSON) without a mechanism for validating requests, which allows remote attackers to obtain sensitive information via vectors involving (1) admin/products.json, (2) admin/users.json, or (3) admin/overview/get_report_data, related to a ""JSON hijacking"" issue.",http://github.com/railsdog/spree/commit/d881b2bb610ea33e2364ff16feb8e702dfeda135,2010-11-17T16:00Z
3950,2010,8e890a3bf80a4620e417814dc14886b1bbd17625,Untrusted search path vulnerability in metadata/loader.c in Mono 2.8 and earlier allows local users to gain privileges via a Trojan horse shared library in the current working directory.,http://github.com/mono/mono/commit/8e890a3bf80a4620e417814dc14886b1bbd17625,2010-11-17T16:00Z
4031,2010,a2ae4cc9a16e211c8a128ba10d22a85431f093ab,Memory leak in the inotify_init1 function in fs/notify/inotify/inotify_user.c in the Linux kernel before 2.6.37 allows local users to cause a denial of service (memory consumption) via vectors involving failed attempts to create files.,http://github.com/torvalds/linux/commit/a2ae4cc9a16e211c8a128ba10d22a85431f093ab,2012-06-21T23:55Z
4035,2010,4905ef1130feb26c3150b28b97e4a96752e0d399,"Mono, when Moonlight before 2.3.0.1 or 2.99.x before 2.99.0.10 is used, does not properly validate arguments to generic methods, which allows remote attackers to bypass generic constraints, and possibly execute arbitrary code, via a crafted method call.",http://github.com/mono/mono/commit/4905ef1130feb26c3150b28b97e4a96752e0d399,2010-12-06T13:44Z
4035,2010,65292a69c837b8a5f7a392d34db63de592153358,"Mono, when Moonlight before 2.3.0.1 or 2.99.x before 2.99.0.10 is used, does not properly validate arguments to generic methods, which allows remote attackers to bypass generic constraints, and possibly execute arbitrary code, via a crafted method call.",http://github.com/mono/mono/commit/65292a69c837b8a5f7a392d34db63de592153358,2010-12-06T13:44Z
4035,2010,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,"Mono, when Moonlight before 2.3.0.1 or 2.99.x before 2.99.0.10 is used, does not properly validate arguments to generic methods, which allows remote attackers to bypass generic constraints, and possibly execute arbitrary code, via a crafted method call.",http://github.com/mono/mono/commit/cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,2010-12-06T13:44Z
4107,2010,e431e86aa4301ced4273dc7919b59362cbb353cb,"The _validatePost function in libs/controller/components/security.php in CakePHP 1.3.x through 1.3.5 and 1.2.8 allows remote attackers to modify the internal Cake cache and execute arbitrary code via a crafted data[_Token][fields] value that is processed by the unserialize function, as demonstrated by modifying the file_map cache to execute arbitrary local files.",http://github.com/cakephp/cakephp/commit/e431e86aa4301ced4273dc7919b59362cbb353cb,2011-01-14T23:00Z
4413,2010,0a54917c3fc295cb61f3fb52373c173fd3b69f48,"The orinoco_ioctl_set_auth function in drivers/net/wireless/orinoco/wext.c in the Linux kernel before 2.6.37 does not properly implement a TKIP protection mechanism, which makes it easier for remote attackers to obtain access to a Wi-Fi network by reading Wi-Fi frames.",http://github.com/torvalds/linux/commit/0a54917c3fc295cb61f3fb52373c173fd3b69f48,2012-06-21T23:55Z
4415,2010,7572777eef78ebdee1ecb7c258c0ef94d35bad16,Buffer overflow in the fuse_do_ioctl function in fs/fuse/file.c in the Linux kernel before 2.6.37 allows local users to cause a denial of service or possibly have unspecified other impact by leveraging the ability to operate a CUSE server.,http://github.com/torvalds/linux/commit/7572777eef78ebdee1ecb7c258c0ef94d35bad16,2012-06-21T23:55Z
4558,2010,aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44,"Commands.pm in Mojolicious before 0.999928 does not properly perform CGI environment detection, which has unspecified impact and remote attack vectors.",http://github.com/kraih/mojo/commit/aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44,2011-05-03T00:55Z
4558,2010,b3a1fb453eda447c0bb082cd9eed81bb75a7564a,"Commands.pm in Mojolicious before 0.999928 does not properly perform CGI environment detection, which has unspecified impact and remote attack vectors.",http://github.com/kraih/mojo/commit/b3a1fb453eda447c0bb082cd9eed81bb75a7564a,2011-05-03T00:55Z
4889,2010,c3bb41f727fbe00e5de719d687757b24c8dcdfc8,"chef-server-api/app/controllers/users.rb in the API in Chef before 0.9.0 does not require administrative privileges for the create, destroy, and update methods, which allows remote authenticated users to manage user accounts via requests to the /users URI.",http://github.com/opscode/chef/commit/c3bb41f727fbe00e5de719d687757b24c8dcdfc8,2012-08-08T10:26Z
5057,2010,7e9060c109b928769a664dbcc2c17bd21231b6f3,Cross-site scripting (XSS) vulnerability in jquery.ui.dialog.js in the Dialog widget in jQuery UI before 1.10.0 allows remote attackers to inject arbitrary web script or HTML via the title option.,http://github.com/jquery/jquery-ui/commit/7e9060c109b928769a664dbcc2c17bd21231b6f3,2014-11-24T16:59Z
5058,2010,fc3a9157d3148ab91039c75423da8ef97be3e105,"Race condition in arch/x86/kvm/x86.c in the Linux kernel before 2.6.38 allows L2 guest OS users to cause a denial of service (L1 guest OS crash) via a crafted instruction that triggers an L2 emulation failure report, a similar issue to CVE-2014-7842.",http://github.com/torvalds/linux/commit/fc3a9157d3148ab91039c75423da8ef97be3e105,2014-11-30T01:59Z
5072,2010,90c4e85a8f8135f069f3f05e4d54a77704769f91,Liferay Portal through 6.2.10 allows remote authenticated users to execute arbitrary shell commands via a crafted Velocity template.,http://github.com/liferay/liferay-portal/commit/90c4e85a8f8135f069f3f05e4d54a77704769f91,2017-01-13T19:59Z
